@relation abs-economics

@attribute Year real
@attribute Immigrants-ks real
@attribute All-Ords-Index real
@attribute Housing-Loan-Interest-Rate real
@attribute Exports-ms real
@attribute Unemployment-Rate real

@data
1981, 210.6, ?, ?   ,            					     54375, 6.1
1982, 172.7, ?, ?,							     54658, 9.3
1983, 145.3, ?, ?,  						     58829, 10.0
1984, 163.2,  855.1, ?,						     67912				, 8.8
1985, 186.4,  1210.8, ?,						     70481, 8.0
1986, 204.4,  1779.1, 15.50,					     77547, 8.4
1987, 242.3,  1585.3, 13.50,	  				     84101, 7.7
1988, 249.9,  1527.7, 17.00,	  				     84981, 6.5
1989, 231.9,  1508.8, 16.50,	  				     88950, 6.0
1990, 236.4,  1504.9, 13.00,	  				     98970, 8.5
1991, 234.2, 1652.7, 10.50,	  				     108328, 11.1
1992, 203.7, 1722.6, 9.50,	  				     116355, 11.8
1993, 207.4, 2040.2, 8.75,	  				     127362, 11.3
1994, 238.5,  2000.8, 10.50,	  				     132979, 9.3
1995, 262.7,  2231.7, 9.75,	  				     146225, 8.8
1996, 261.0,  2662.7, 7.20,	  				     162144, 8.9
1997, 265.4,  2608.2, 6.70,	  				     169720, 8.6
1998, 271.9,  2963.0, 6.50,	  				     172977, 7.8
1999, 305.1,  3115.9, 7.80,	    				     189827, 6.8
2000, 348.6,  3352.4, 6.80,	  				     205369, 6.6
2001, 353.4,  3241.5, 6.55,	  				     203964, 7.0
2002, 373.8,  3032.0, 6.55,	  				     204334, 6.4
2003, 401.3,  3499.8, 7.05,	  				     206761, 5.8
2004, 426.9,  4197.5, 7.30,	  				     213985, 5.2
2005, 457.4,  4933.5, 7.55,	  				     219678, 4.9
2006, 513.4,  6337.6, 8.05,	  				     228442, 4.5
2007, 582.1, 	  5513.5,  9.45,					     236965, ?
2008, 662.3, 	  3931.8,  5.80,					     241050, ?
2009, 605.1, 	  4467.5,  7.40,					     253762, ?
2010, 590.4, 	  4607.1,  7.80 ,   					     254367, ?
